,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
14927,2,0,1,5,Meal Plan 1,0,Room_Type 1,349,10,4,Offline,0,0,0,90.0,0,Canceled
14928,2,0,1,2,Meal Plan 1,0,Room_Type 1,28,11,25,Online,0,0,0,104.0,0,Canceled
14929,3,0,2,3,Meal Plan 1,0,Room_Type 4,14,3,31,Online,0,0,0,161.0,0,Not_Canceled
14930,2,0,0,4,Meal Plan 1,0,Room_Type 4,75,9,14,Online,0,0,0,149.4,3,Not_Canceled
14931,1,0,0,1,Meal Plan 1,0,Room_Type 1,1,9,30,Corporate,0,0,0,65.0,0,Not_Canceled
14932,2,0,0,3,Meal Plan 1,0,Room_Type 1,213,6,7,Offline,0,0,0,130.0,0,Canceled
14933,2,0,1,0,Meal Plan 1,0,Room_Type 4,90,4,11,Online,0,0,0,105.3,1,Not_Canceled
14934,2,0,1,2,Meal Plan 1,0,Room_Type 4,94,11,23,Online,0,0,0,65.45,2,Not_Canceled
14935,2,2,0,2,Meal Plan 1,0,Room_Type 6,119,7,14,Online,0,0,0,177.3,1,Not_Canceled
14936,2,0,1,2,Meal Plan 1,0,Room_Type 1,273,5,13,Offline,0,0,0,95.0,0,Canceled
14937,2,0,1,3,Meal Plan 1,0,Room_Type 2,47,10,19,Offline,0,0,0,72.36,1,Not_Canceled
14938,1,0,1,0,Meal Plan 1,0,Room_Type 1,46,11,20,Online,0,0,0,86.4,0,Canceled
14939,2,0,0,2,Meal Plan 1,0,Room_Type 1,148,9,11,Online,0,0,0,93.5,1,Not_Canceled
14940,2,0,2,3,Not Selected,0,Room_Type 1,92,8,20,Online,0,0,0,107.1,1,Canceled
14941,2,0,0,2,Meal Plan 2,0,Room_Type 1,74,9,18,Offline,0,0,0,109.0,0,Not_Canceled
14942,3,0,0,3,Meal Plan 1,0,Room_Type 4,88,4,6,Online,0,0,0,100.72,2,Not_Canceled
14943,2,0,2,0,Meal Plan 1,0,Room_Type 1,146,4,24,Offline,0,0,0,95.0,0,Canceled
14944,2,0,1,1,Meal Plan 1,0,Room_Type 4,72,4,23,Online,0,0,0,118.8,1,Not_Canceled
14945,2,1,2,1,Meal Plan 1,0,Room_Type 2,11,12,26,Online,0,0,0,92.58,1,Not_Canceled
14946,2,0,1,3,Meal Plan 1,0,Room_Type 4,45,3,28,Online,0,0,0,143.65,0,Canceled
14947,1,0,0,2,Not Selected,0,Room_Type 1,2,8,19,Online,0,0,0,133.0,2,Not_Canceled
14948,2,0,1,3,Meal Plan 1,0,Room_Type 1,322,5,19,Offline,0,0,0,80.0,0,Canceled
14949,3,0,1,4,Meal Plan 1,0,Room_Type 4,106,7,18,Online,0,0,0,141.3,1,Not_Canceled
14950,2,0,1,0,Not Selected,0,Room_Type 1,5,8,29,Offline,0,0,0,75.0,0,Not_Canceled
14951,2,0,0,4,Not Selected,0,Room_Type 1,134,7,13,Online,0,0,0,89.25,1,Not_Canceled
14952,2,0,0,2,Not Selected,0,Room_Type 1,14,11,3,Online,0,0,0,100.0,2,Not_Canceled
14953,2,0,0,4,Meal Plan 1,0,Room_Type 1,175,8,31,Online,0,0,0,112.63,0,Canceled
14954,2,0,1,4,Meal Plan 1,0,Room_Type 1,141,7,6,Online,0,0,0,107.95,1,Not_Canceled
14955,2,0,1,1,Meal Plan 1,0,Room_Type 1,43,3,14,Online,0,0,0,81.9,1,Canceled
14956,1,0,0,1,Meal Plan 1,0,Room_Type 6,0,2,10,Complementary,1,3,11,0.0,1,Not_Canceled
14957,1,0,1,0,Meal Plan 1,0,Room_Type 1,9,4,11,Online,0,0,0,95.0,0,Canceled
14958,2,0,2,3,Not Selected,0,Room_Type 1,16,10,29,Online,0,0,0,106.0,4,Not_Canceled
14959,2,0,2,3,Meal Plan 1,0,Room_Type 1,359,10,14,Offline,0,0,0,78.0,1,Not_Canceled
14960,2,0,2,0,Not Selected,0,Room_Type 1,27,9,25,Online,0,0,0,89.1,1,Canceled
14961,2,0,2,2,Not Selected,0,Room_Type 1,42,3,20,Online,0,0,0,86.98,0,Canceled
14962,2,0,0,2,Meal Plan 2,0,Room_Type 1,74,9,18,Offline,0,0,0,109.0,0,Not_Canceled
14963,1,0,1,1,Meal Plan 2,0,Room_Type 1,301,7,30,Offline,0,0,0,90.0,0,Not_Canceled
14964,1,0,0,2,Meal Plan 2,0,Room_Type 1,273,7,17,Offline,0,0,0,87.0,0,Not_Canceled
14965,2,0,1,2,Meal Plan 1,0,Room_Type 4,49,3,7,Online,0,0,0,87.3,0,Canceled
14966,3,0,2,4,Meal Plan 1,0,Room_Type 1,22,9,4,Online,0,0,0,122.5,3,Not_Canceled
14967,1,0,1,0,Meal Plan 1,0,Room_Type 1,4,10,19,Online,0,0,0,90.0,0,Not_Canceled
14968,2,1,2,3,Meal Plan 1,0,Room_Type 1,75,4,29,Online,0,0,0,135.15,0,Canceled
14969,2,0,2,0,Meal Plan 1,0,Room_Type 1,18,11,6,Online,0,0,0,155.0,2,Not_Canceled
14970,2,0,0,4,Meal Plan 1,0,Room_Type 4,117,4,20,Online,0,0,0,99.45,0,Canceled
14971,2,0,0,1,Meal Plan 1,0,Room_Type 1,26,6,8,Offline,0,0,0,120.0,0,Not_Canceled
14972,2,0,0,3,Meal Plan 1,0,Room_Type 1,58,11,10,Offline,0,0,0,75.0,0,Not_Canceled
14973,1,0,0,1,Meal Plan 1,0,Room_Type 1,98,9,21,Corporate,1,3,16,65.0,0,Not_Canceled
14974,2,0,2,2,Meal Plan 1,0,Room_Type 1,24,10,16,Offline,0,0,0,85.0,1,Not_Canceled
14975,2,0,1,1,Meal Plan 1,0,Room_Type 1,27,9,26,Online,0,0,0,111.2,0,Canceled
14976,2,0,0,1,Meal Plan 1,0,Room_Type 1,10,2,6,Online,0,0,0,93.0,1,Not_Canceled
14977,1,0,1,3,Meal Plan 2,0,Room_Type 4,28,10,6,Online,0,0,0,205.0,1,Not_Canceled
14978,2,0,0,2,Not Selected,0,Room_Type 1,1,10,28,Online,0,0,0,149.0,1,Not_Canceled
14979,2,0,2,3,Meal Plan 1,0,Room_Type 1,6,10,30,Online,0,0,0,102.41,1,Not_Canceled
14980,2,0,0,3,Meal Plan 1,0,Room_Type 4,146,5,19,Online,0,0,0,121.55,1,Not_Canceled
14981,1,0,2,1,Meal Plan 1,0,Room_Type 1,116,2,28,Online,0,0,0,1.0,0,Not_Canceled
14982,2,0,1,3,Meal Plan 1,0,Room_Type 1,141,8,22,Online,0,0,0,103.05,0,Canceled
14983,2,2,0,2,Meal Plan 1,0,Room_Type 6,20,8,3,Online,0,0,0,240.0,0,Canceled
14984,2,0,4,6,Meal Plan 1,0,Room_Type 1,125,9,4,Online,0,0,0,99.79,5,Not_Canceled
14985,2,0,2,4,Meal Plan 1,0,Room_Type 1,165,7,31,Offline,0,0,0,72.25,2,Canceled
14986,2,0,2,1,Meal Plan 1,0,Room_Type 1,18,10,29,Online,0,0,0,140.0,1,Canceled
14987,2,0,2,0,Meal Plan 1,0,Room_Type 1,146,4,24,Offline,0,0,0,95.0,0,Canceled
14988,2,2,1,1,Meal Plan 1,0,Room_Type 6,10,8,8,Online,0,0,0,207.9,1,Not_Canceled
14989,2,0,1,3,Not Selected,0,Room_Type 1,88,10,10,Online,0,0,0,108.0,0,Canceled
14990,2,0,0,2,Meal Plan 1,0,Room_Type 1,322,12,9,Offline,0,0,0,52.0,0,Not_Canceled
14991,2,1,0,4,Meal Plan 1,0,Room_Type 1,115,8,3,Online,0,0,0,123.75,2,Not_Canceled
14992,2,0,0,2,Meal Plan 2,0,Room_Type 1,256,6,15,Offline,0,0,0,115.0,1,Canceled
14993,2,0,0,3,Meal Plan 1,0,Room_Type 1,104,12,3,Offline,0,0,0,75.0,0,Not_Canceled
14994,2,0,2,5,Not Selected,0,Room_Type 1,87,6,8,Online,0,0,0,93.55,0,Canceled
14995,2,0,0,1,Meal Plan 1,0,Room_Type 1,5,12,20,Online,0,0,0,105.0,1,Not_Canceled
14996,2,0,0,4,Meal Plan 1,0,Room_Type 1,27,11,23,Online,0,0,0,68.07,1,Not_Canceled
14997,2,0,0,4,Not Selected,0,Room_Type 1,14,12,7,Online,0,0,0,77.78,1,Not_Canceled
14998,2,0,1,4,Meal Plan 1,0,Room_Type 4,26,10,5,Online,0,0,0,106.93,1,Not_Canceled
14999,2,0,0,2,Meal Plan 1,0,Room_Type 1,5,2,12,Online,0,0,0,91.0,1,Canceled
15000,1,0,2,1,Not Selected,1,Room_Type 1,1,12,6,Offline,0,0,0,66.0,1,Not_Canceled
15001,2,0,2,2,Meal Plan 1,1,Room_Type 1,31,11,13,Corporate,1,0,2,77.0,0,Not_Canceled
15002,1,0,0,2,Meal Plan 2,0,Room_Type 1,273,7,17,Offline,0,0,0,87.0,0,Not_Canceled
15003,2,0,2,1,Meal Plan 2,0,Room_Type 1,117,8,1,Offline,0,0,0,94.5,0,Not_Canceled
15004,2,0,0,1,Meal Plan 1,1,Room_Type 1,24,10,24,Online,0,0,0,145.0,2,Not_Canceled
15005,2,0,1,2,Meal Plan 1,0,Room_Type 4,141,5,23,Online,0,0,0,114.3,1,Canceled
15006,1,0,0,2,Meal Plan 2,0,Room_Type 1,6,12,10,Online,0,0,0,0.0,0,Not_Canceled
15007,2,0,1,1,Meal Plan 2,0,Room_Type 1,247,6,6,Offline,0,0,0,115.0,1,Canceled
15008,2,1,1,0,Meal Plan 1,0,Room_Type 1,2,9,11,Online,0,0,0,175.0,1,Not_Canceled
15009,2,0,0,4,Meal Plan 1,0,Room_Type 1,49,12,30,Offline,0,0,0,71.0,0,Not_Canceled
15010,2,1,1,4,Meal Plan 1,0,Room_Type 1,105,7,4,Online,0,0,0,123.25,0,Canceled
15011,2,0,0,3,Meal Plan 1,0,Room_Type 4,82,4,26,Offline,0,0,0,90.95,0,Not_Canceled
15012,2,0,2,1,Meal Plan 1,0,Room_Type 1,282,10,10,Offline,0,0,0,76.67,0,Not_Canceled
15013,2,0,0,1,Meal Plan 2,0,Room_Type 1,100,10,16,Offline,0,0,0,108.0,0,Canceled
15014,2,0,1,2,Meal Plan 1,0,Room_Type 4,49,11,16,Offline,0,0,0,60.0,0,Not_Canceled
15015,1,0,0,3,Meal Plan 1,0,Room_Type 1,113,5,31,Corporate,0,0,0,100.0,0,Canceled
15016,2,0,0,3,Meal Plan 1,0,Room_Type 1,276,9,22,Offline,0,0,0,95.0,0,Canceled
15017,2,0,2,2,Not Selected,0,Room_Type 1,47,6,19,Online,0,0,0,70.12,1,Not_Canceled
15018,2,0,0,1,Meal Plan 2,0,Room_Type 1,55,4,6,Offline,0,0,0,104.0,0,Not_Canceled
15019,2,0,0,4,Not Selected,0,Room_Type 1,18,3,15,Online,0,0,0,79.0,0,Not_Canceled
15020,2,0,0,2,Not Selected,0,Room_Type 1,180,8,25,Online,0,0,0,85.5,0,Canceled
15021,1,0,0,3,Meal Plan 1,0,Room_Type 1,204,5,5,Offline,0,0,0,90.0,0,Canceled
15022,2,0,1,1,Not Selected,0,Room_Type 1,64,11,19,Online,0,0,0,79.2,2,Not_Canceled
15023,2,0,2,0,Meal Plan 1,0,Room_Type 1,2,1,3,Online,0,0,0,67.66,0,Not_Canceled
15024,1,0,1,1,Meal Plan 1,0,Room_Type 1,107,9,19,Online,0,0,0,130.5,0,Canceled
15025,2,0,2,2,Meal Plan 1,0,Room_Type 1,166,6,19,Online,0,0,0,100.3,1,Canceled
15026,2,0,0,3,Meal Plan 1,0,Room_Type 1,44,2,17,Offline,0,0,0,75.0,0,Not_Canceled
15027,2,0,2,0,Not Selected,0,Room_Type 1,16,9,11,Online,0,0,0,89.0,1,Not_Canceled
15028,2,0,0,2,Meal Plan 1,0,Room_Type 2,169,8,18,Online,0,0,0,97.54,2,Not_Canceled
15029,1,0,0,2,Meal Plan 1,0,Room_Type 1,36,1,19,Offline,0,0,0,71.0,0,Not_Canceled
15030,2,0,2,3,Not Selected,0,Room_Type 1,341,12,29,Online,0,0,0,71.91,2,Canceled
15031,1,0,0,3,Meal Plan 1,0,Room_Type 1,4,11,17,Corporate,1,0,3,65.0,0,Not_Canceled
15032,2,1,2,1,Meal Plan 1,0,Room_Type 1,159,8,7,Online,0,0,0,130.5,1,Canceled
15033,2,0,0,1,Meal Plan 1,0,Room_Type 1,0,2,24,Online,0,0,0,97.0,0,Not_Canceled
15034,1,0,0,1,Meal Plan 1,0,Room_Type 4,10,9,30,Aviation,0,0,0,110.0,0,Canceled
15035,2,0,1,0,Not Selected,0,Room_Type 1,49,7,11,Online,0,0,0,93.15,0,Canceled
15036,2,0,0,1,Not Selected,0,Room_Type 1,84,11,26,Online,0,0,0,79.2,1,Canceled
15037,2,0,0,4,Not Selected,0,Room_Type 1,213,12,27,Online,0,0,0,79.48,1,Canceled
15038,2,0,0,2,Meal Plan 1,0,Room_Type 4,163,7,22,Online,0,0,0,118.8,1,Canceled
15039,1,0,0,3,Meal Plan 1,0,Room_Type 1,37,10,13,Offline,0,0,0,95.0,0,Not_Canceled
15040,2,0,0,1,Meal Plan 1,0,Room_Type 1,180,10,16,Offline,0,0,0,70.0,0,Canceled
15041,1,0,0,1,Meal Plan 1,0,Room_Type 1,1,3,31,Corporate,0,0,0,95.0,3,Not_Canceled
15042,1,0,1,2,Meal Plan 1,0,Room_Type 5,297,12,19,Corporate,0,0,0,106.0,0,Not_Canceled
15043,2,0,1,3,Meal Plan 1,0,Room_Type 1,250,9,26,Offline,0,0,0,95.0,0,Canceled
15044,2,0,2,0,Meal Plan 1,0,Room_Type 1,20,9,25,Offline,0,0,0,85.5,1,Not_Canceled
15045,2,0,2,4,Meal Plan 1,1,Room_Type 4,45,6,17,Online,0,0,0,135.9,1,Not_Canceled
15046,1,0,0,1,Meal Plan 1,0,Room_Type 1,5,9,22,Corporate,0,0,0,65.0,0,Not_Canceled
15047,2,0,0,4,Meal Plan 1,0,Room_Type 1,35,10,20,Online,0,0,0,96.3,2,Not_Canceled
15048,2,0,0,3,Meal Plan 1,0,Room_Type 1,222,8,31,Online,0,0,0,96.3,1,Canceled
15049,2,0,0,3,Meal Plan 1,0,Room_Type 1,43,12,31,Offline,0,0,0,118.0,0,Not_Canceled
15050,1,0,2,1,Meal Plan 1,0,Room_Type 1,4,4,10,Corporate,0,0,0,65.0,0,Not_Canceled
15051,2,0,2,3,Not Selected,0,Room_Type 1,48,4,1,Online,0,0,0,63.22,1,Not_Canceled
15052,2,0,2,3,Meal Plan 2,0,Room_Type 4,49,11,24,Online,0,0,0,129.2,1,Not_Canceled
15053,2,0,1,5,Meal Plan 1,0,Room_Type 2,75,10,20,Offline,0,0,0,67.83,0,Not_Canceled
15054,2,1,0,3,Meal Plan 1,0,Room_Type 1,159,5,26,Online,0,0,0,119.85,1,Canceled
15055,1,0,0,2,Meal Plan 1,0,Room_Type 1,8,10,23,Corporate,1,2,7,65.0,0,Not_Canceled
15056,2,0,1,3,Meal Plan 1,0,Room_Type 1,52,12,1,Online,0,0,0,88.4,2,Not_Canceled
15057,2,0,2,5,Meal Plan 1,0,Room_Type 1,165,8,8,Online,0,0,0,99.45,0,Canceled
15058,3,0,2,1,Meal Plan 1,1,Room_Type 1,2,3,27,Offline,0,0,0,100.47,1,Not_Canceled
15059,2,0,0,1,Meal Plan 1,0,Room_Type 1,11,11,5,Online,0,0,0,130.0,1,Canceled
15060,2,0,0,1,Meal Plan 1,0,Room_Type 2,193,7,15,Online,0,0,0,86.5,0,Canceled
15061,2,0,2,5,Meal Plan 1,0,Room_Type 2,69,12,29,Online,0,0,0,92.43,0,Not_Canceled
15062,2,0,0,1,Meal Plan 1,0,Room_Type 1,5,7,20,Online,0,0,0,111.0,1,Not_Canceled
15063,2,0,0,1,Not Selected,0,Room_Type 1,13,9,7,Online,0,0,0,119.0,0,Canceled
15064,2,0,2,1,Meal Plan 2,0,Room_Type 1,150,1,2,Offline,0,0,0,101.0,0,Not_Canceled
15065,2,0,2,6,Meal Plan 1,0,Room_Type 1,153,6,7,Online,0,0,0,111.78,0,Canceled
15066,2,0,1,0,Not Selected,0,Room_Type 1,34,5,22,Online,0,0,0,75.54,1,Not_Canceled
15067,1,0,1,1,Meal Plan 1,0,Room_Type 1,42,6,13,Corporate,0,0,0,89.0,0,Not_Canceled
15068,2,0,0,1,Meal Plan 1,0,Room_Type 1,1,10,14,Corporate,0,0,0,95.0,1,Not_Canceled
15069,2,0,0,2,Meal Plan 2,0,Room_Type 1,292,7,21,Offline,0,0,0,115.0,0,Canceled
15070,2,0,1,3,Meal Plan 1,0,Room_Type 1,290,12,1,Online,0,0,0,73.95,0,Canceled
15071,2,0,1,0,Meal Plan 1,0,Room_Type 1,96,7,13,Offline,0,0,0,63.75,0,Not_Canceled
15072,2,0,0,2,Meal Plan 2,0,Room_Type 1,74,9,18,Offline,0,0,0,109.0,0,Not_Canceled
15073,2,0,1,2,Not Selected,0,Room_Type 1,54,11,11,Online,0,0,0,64.37,1,Not_Canceled
15074,2,0,2,2,Not Selected,0,Room_Type 1,5,12,26,Online,0,0,0,63.0,0,Not_Canceled
15075,2,0,0,2,Meal Plan 1,0,Room_Type 2,133,10,21,Online,0,0,0,110.7,1,Not_Canceled
15076,1,0,0,2,Meal Plan 2,0,Room_Type 1,292,7,21,Offline,0,0,0,90.0,0,Not_Canceled
15077,1,0,0,1,Meal Plan 1,0,Room_Type 1,1,6,28,Online,0,0,0,133.0,2,Not_Canceled
15078,2,0,2,3,Meal Plan 1,0,Room_Type 4,34,3,3,Online,0,0,0,97.4,1,Not_Canceled
15079,3,0,1,0,Meal Plan 1,1,Room_Type 4,45,10,17,Online,0,0,0,185.4,2,Not_Canceled
15080,2,0,0,3,Meal Plan 1,0,Room_Type 4,52,11,19,Offline,0,0,0,60.0,1,Not_Canceled
15081,1,0,0,1,Meal Plan 1,0,Room_Type 1,2,1,16,Complementary,0,0,0,0.0,1,Not_Canceled
15082,2,0,1,2,Meal Plan 1,0,Room_Type 1,22,9,4,Online,0,0,0,105.0,2,Not_Canceled
15083,2,0,0,2,Meal Plan 1,0,Room_Type 1,29,10,5,Online,0,0,0,152.0,2,Not_Canceled
15084,2,0,1,2,Meal Plan 1,0,Room_Type 1,159,9,19,Offline,0,0,0,144.0,0,Canceled
15085,1,0,1,2,Meal Plan 2,0,Room_Type 1,418,9,26,Offline,0,0,0,86.0,0,Canceled
15086,2,0,0,2,Meal Plan 1,0,Room_Type 1,211,5,20,Offline,0,0,0,100.0,0,Canceled
15087,1,0,0,5,Not Selected,0,Room_Type 1,7,10,4,Online,0,0,0,140.0,2,Canceled
15088,2,0,2,2,Not Selected,0,Room_Type 1,33,10,28,Online,0,0,0,109.0,1,Canceled
15089,2,0,1,1,Meal Plan 2,0,Room_Type 1,16,8,15,Offline,0,0,0,104.0,0,Not_Canceled
15090,2,0,1,3,Meal Plan 1,0,Room_Type 1,109,5,23,Offline,0,0,0,75.0,0,Not_Canceled
15091,2,0,0,1,Meal Plan 2,0,Room_Type 1,41,9,4,Offline,0,0,0,110.0,0,Not_Canceled
15092,2,0,1,0,Not Selected,0,Room_Type 1,37,6,27,Online,0,0,0,89.1,1,Not_Canceled
15093,2,0,2,1,Meal Plan 1,0,Room_Type 1,205,5,29,Offline,0,0,0,90.0,0,Canceled
15094,2,0,0,4,Meal Plan 1,0,Room_Type 1,256,8,31,Online,0,0,0,90.95,0,Canceled
15095,1,0,0,3,Meal Plan 1,0,Room_Type 4,11,6,14,Corporate,0,0,0,90.0,0,Not_Canceled
15096,2,1,2,0,Meal Plan 1,0,Room_Type 1,18,6,12,Online,0,0,0,129.0,0,Not_Canceled
15097,2,0,2,3,Meal Plan 1,0,Room_Type 4,68,3,20,Online,0,0,0,99.45,1,Not_Canceled
15098,2,0,2,0,Not Selected,0,Room_Type 1,51,10,9,Online,0,0,0,108.0,3,Not_Canceled
15099,2,1,0,1,Meal Plan 1,0,Room_Type 1,37,3,25,Online,0,0,0,143.1,1,Canceled
15100,2,0,1,2,Meal Plan 1,0,Room_Type 4,91,5,13,Online,0,0,0,140.4,0,Canceled
15101,2,0,0,1,Meal Plan 1,0,Room_Type 1,105,4,6,Offline,0,0,0,75.0,0,Canceled
15102,2,0,2,2,Meal Plan 1,0,Room_Type 1,0,11,13,Online,0,0,0,98.6,1,Not_Canceled
15103,2,0,1,3,Meal Plan 1,0,Room_Type 1,75,4,11,Online,0,0,0,90.95,1,Not_Canceled
15104,1,0,1,1,Not Selected,0,Room_Type 1,5,4,11,Offline,0,0,0,99.0,1,Not_Canceled
15105,1,0,0,1,Meal Plan 1,0,Room_Type 1,34,4,12,Offline,0,0,0,99.9,0,Not_Canceled
15106,2,0,2,5,Meal Plan 1,0,Room_Type 1,81,3,23,Online,0,0,0,89.31,0,Not_Canceled
15107,2,0,0,4,Meal Plan 1,0,Room_Type 4,0,11,3,Online,0,0,0,82.45,1,Not_Canceled
15108,2,0,0,2,Meal Plan 2,0,Room_Type 1,0,8,14,Offline,0,0,0,109.0,0,Not_Canceled
15109,2,0,1,2,Meal Plan 1,0,Room_Type 1,198,9,9,Offline,0,0,0,90.0,0,Canceled
15110,2,0,0,4,Meal Plan 1,0,Room_Type 1,98,5,3,Offline,0,0,0,95.0,1,Not_Canceled
15111,1,0,0,2,Meal Plan 1,0,Room_Type 4,0,3,4,Online,0,0,0,116.0,0,Not_Canceled
15112,2,1,2,5,Meal Plan 1,0,Room_Type 4,31,1,30,Offline,0,0,0,84.03,3,Not_Canceled
15113,2,0,3,8,Meal Plan 1,0,Room_Type 1,204,7,18,Online,0,0,0,90.95,1,Not_Canceled
15114,2,0,1,2,Meal Plan 1,0,Room_Type 1,86,11,4,Online,0,0,0,90.0,2,Not_Canceled
15115,2,0,1,0,Not Selected,0,Room_Type 1,92,9,19,Online,0,0,0,125.1,2,Not_Canceled
15116,3,0,1,3,Meal Plan 1,0,Room_Type 4,64,9,19,Online,0,0,0,168.3,2,Not_Canceled
15117,2,0,0,4,Meal Plan 1,0,Room_Type 1,75,4,26,Offline,0,0,0,75.0,0,Not_Canceled
15118,2,0,1,3,Not Selected,0,Room_Type 1,29,4,14,Online,0,0,0,96.53,0,Canceled
15119,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,8,17,Online,0,0,0,138.0,0,Not_Canceled
15120,2,0,0,2,Meal Plan 2,0,Room_Type 1,86,9,24,Offline,0,0,0,120.0,0,Not_Canceled
15121,2,0,2,5,Meal Plan 1,0,Room_Type 4,132,7,31,Online,0,0,0,121.37,0,Canceled
15122,2,0,1,2,Meal Plan 1,0,Room_Type 4,19,4,4,Online,0,0,0,101.27,1,Not_Canceled
15123,1,0,0,1,Not Selected,0,Room_Type 1,11,6,14,Online,0,0,0,78.8,0,Not_Canceled
15124,2,0,0,3,Meal Plan 1,0,Room_Type 1,259,5,5,Offline,0,0,0,90.0,0,Canceled
15125,1,0,1,4,Not Selected,0,Room_Type 1,67,9,5,Online,0,0,0,104.76,1,Not_Canceled
15126,2,0,0,3,Meal Plan 1,0,Room_Type 1,78,4,14,Online,0,0,0,96.3,1,Not_Canceled
15127,2,0,0,3,Meal Plan 1,0,Room_Type 1,49,9,6,Online,0,0,0,110.7,0,Canceled
15128,2,0,0,3,Meal Plan 1,0,Room_Type 1,193,10,15,Offline,0,0,0,65.0,0,Canceled
15129,1,0,0,1,Meal Plan 1,1,Room_Type 4,2,1,23,Complementary,0,0,0,0.0,0,Not_Canceled
15130,2,1,2,0,Meal Plan 1,1,Room_Type 1,131,7,3,Online,0,0,0,121.5,2,Not_Canceled
15131,2,0,1,0,Not Selected,0,Room_Type 1,29,8,8,Online,0,0,0,139.0,1,Not_Canceled
15132,2,0,0,3,Meal Plan 1,0,Room_Type 1,71,5,10,Offline,0,0,0,90.0,0,Not_Canceled
15133,2,2,2,2,Meal Plan 2,0,Room_Type 6,80,4,24,Online,0,0,0,173.19,0,Canceled
15134,2,0,0,2,Meal Plan 1,0,Room_Type 1,1,8,16,Online,0,0,0,168.5,2,Not_Canceled
15135,2,0,0,1,Meal Plan 1,0,Room_Type 1,1,1,26,Online,0,0,0,93.0,0,Not_Canceled
15136,2,0,2,4,Meal Plan 1,0,Room_Type 4,99,4,27,Online,0,0,0,107.95,1,Not_Canceled
15137,2,0,2,3,Meal Plan 1,0,Room_Type 1,17,2,27,Offline,0,0,0,46.4,0,Not_Canceled
15138,2,0,0,2,Meal Plan 1,0,Room_Type 4,43,10,12,Online,0,0,0,139.5,2,Not_Canceled
15139,2,0,2,4,Meal Plan 1,0,Room_Type 1,165,7,6,Online,0,0,0,108.04,0,Canceled
15140,2,0,0,1,Meal Plan 1,0,Room_Type 4,0,5,19,Online,0,0,0,223.0,0,Canceled
15141,2,0,1,3,Meal Plan 1,0,Room_Type 1,41,4,11,Online,0,0,0,105.3,1,Not_Canceled
15142,2,0,2,2,Meal Plan 1,0,Room_Type 1,230,9,18,Online,0,0,0,109.65,1,Canceled
15143,1,0,2,1,Meal Plan 1,0,Room_Type 1,24,12,18,Online,0,0,0,104.0,1,Not_Canceled
15144,2,0,1,2,Meal Plan 2,0,Room_Type 1,315,9,30,Offline,0,0,0,160.0,0,Canceled
15145,1,0,0,2,Meal Plan 1,0,Room_Type 1,192,6,24,Offline,0,0,0,95.0,0,Not_Canceled
15146,2,0,0,4,Meal Plan 1,0,Room_Type 1,122,5,3,Online,0,0,0,99.45,0,Canceled
15147,3,0,1,4,Meal Plan 1,0,Room_Type 4,195,9,5,Online,0,0,0,140.25,0,Canceled
15148,2,0,0,2,Meal Plan 1,0,Room_Type 1,37,9,16,Online,0,0,0,94.5,0,Not_Canceled
15149,3,0,2,2,Meal Plan 1,0,Room_Type 4,103,10,28,Online,0,0,0,123.3,1,Not_Canceled
15150,2,0,0,4,Meal Plan 1,0,Room_Type 4,62,9,14,Online,0,0,0,149.4,0,Not_Canceled
15151,2,0,2,5,Meal Plan 1,0,Room_Type 1,112,7,6,Offline,0,0,0,72.25,0,Not_Canceled
15152,2,0,2,3,Meal Plan 1,0,Room_Type 1,58,9,10,Online,0,0,0,121.56,0,Not_Canceled
15153,1,0,0,3,Meal Plan 1,0,Room_Type 1,166,11,1,Offline,0,0,0,110.0,0,Canceled
15154,2,0,0,2,Meal Plan 1,0,Room_Type 1,256,8,26,Offline,0,0,0,72.25,1,Not_Canceled
15155,2,1,2,1,Meal Plan 1,0,Room_Type 1,4,11,19,Online,0,0,0,128.67,3,Not_Canceled
15156,3,0,2,1,Meal Plan 2,0,Room_Type 1,138,8,22,Offline,0,0,0,138.5,1,Not_Canceled
15157,1,0,0,1,Not Selected,0,Room_Type 1,113,10,13,Online,0,0,0,108.0,1,Not_Canceled
15158,2,0,2,2,Meal Plan 1,0,Room_Type 1,169,4,22,Offline,0,0,0,77.0,1,Not_Canceled
15159,1,0,0,1,Meal Plan 1,0,Room_Type 1,361,11,4,Online,1,1,0,91.0,0,Canceled
15160,2,0,0,1,Not Selected,0,Room_Type 1,37,10,19,Offline,0,0,0,76.5,1,Not_Canceled
15161,2,0,0,1,Not Selected,0,Room_Type 1,0,3,26,Online,0,0,0,89.0,1,Not_Canceled
15162,2,0,0,1,Meal Plan 1,0,Room_Type 1,25,7,7,Online,0,0,0,151.0,1,Not_Canceled
15163,2,0,1,1,Meal Plan 1,0,Room_Type 1,275,6,4,Offline,0,0,0,62.8,0,Canceled
15164,2,0,0,3,Meal Plan 1,0,Room_Type 1,54,4,20,Online,0,0,0,130.05,0,Not_Canceled
15165,1,0,1,2,Meal Plan 2,0,Room_Type 1,80,9,26,Online,0,0,0,0.0,0,Not_Canceled
